Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering
16,0,1,1,18.111642751462643,6,1,3,1,0,0,0
18,0,0,4,2.3951993286439444,23,0,3,0,1,0,0
15,1,0,1,10.638659551055827,28,0,0,0,1,0,0
18,1,3,2,5.690239194848883,21,1,3,0,0,1,0
16,1,2,1,0.941223957538948,1,0,4,0,0,1,0
16,0,1,2,13.370933902279706,6,0,2,1,0,0,0
16,1,1,1,17.255415549184512,28,0,3,0,0,1,1
15,0,1,1,3.258053089547881,8,0,2,1,1,0,0
16,0,0,3,16.24827315247801,4,1,2,0,0,0,0
15,1,0,3,17.067914670738833,14,0,3,1,0,1,0
16,0,0,3,18.28680885332967,17,0,3,0,1,0,0
18,0,0,2,5.305701781721048,3,0,3,0,0,0,0
18,1,1,3,18.079061303797783,18,1,1,1,1,0,0
17,1,0,0,6.413255094728645,19,0,1,0,0,0,0
18,1,3,1,11.046760269110056,25,0,3,0,1,0,0
17,0,3,1,1.0101494166456426,6,0,1,0,1,0,0
18,1,2,2,0.8776217673748721,25,0,2,0,0,0,0
15,1,1,1,14.407464254644058,7,0,0,1,1,0,0
18,0,2,1,8.88959955955582,16,0,1,0,1,0,0
17,1,0,2,5.125847507384352,12,0,3,1,1,0,0
17,1,2,3,3.808269920498204,23,0,3,0,0,0,0
16,1,0,1,13.399069817184362,20,1,1,1,0,1,1
15,0,2,1,0.0080308805067974,27,0,1,0,0,1,0
18,0,0,1,16.117823383937086,22,0,0,1,0,1,0
16,0,2,1,1.5849921225985764,10,0,2,0,0,1,1
18,0,3,1,3.829792298162389,26,0,1,0,0,0,1
18,1,0,2,7.724727905981792,0,0,2,1,1,0,0
16,0,0,2,9.697174794322072,1,1,3,0,0,0,0
16,0,3,2,7.099902316278836,16,1,3,0,1,0,0
16,1,0,1,6.414243299685878,4,0,1,1,1,0,0
16,1,2,3,19.278320241463767,29,0,3,0,0,0,1
16,1,1,1,12.831593624867883,29,0,4,0,0,1,0
18,0,0,2,0.4686591073477641,5,0,2,0,1,0,0
16,0,0,3,8.603518168886264,25,0,2,1,0,1,1
15,0,0,1,17.500173994879404,24,0,2,0,0,0,0
17,1,2,1,6.029123728213359,23,1,1,1,1,0,1
16,1,0,3,1.8911268954877647,6,0,3,1,0,1,1
16,0,1,1,15.167695431798355,27,0,3,1,1,0,0
18,1,0,2,12.120276638721624,20,1,2,0,1,0,0
16,1,1,0,11.406250156530078,29,0,3,1,0,0,0
16,1,2,2,1.0715311921481585,14,0,3,0,1,1,1
16,0,3,1,2.8099801959103465,18,0,0,1,0,0,1
18,1,0,0,12.450987924262275,15,0,1,0,1,0,0
16,1,2,2,4.156476829176716,24,1,3,1,1,0,0
17,0,2,1,10.081401594968488,12,1,4,0,0,0,0
18,0,1,1,10.89763372058787,4,1,3,0,0,0,0
17,1,3,0,5.670143805418788,2,1,4,0,0,1,0
18,1,0,1,18.968503110829857,2,0,2,0,0,0,0
16,0,0,1,16.8492821367115,18,1,1,0,1,1,0
17,0,2,0,14.44747015265597,13,1,2,0,0,0,0
18,1,0,3,1.5598773281881817,15,0,0,0,0,0,1
15,1,2,0,2.122600386180389,21,0,3,1,0,1,0
16,1,2,2,9.855626917299114,16,0,4,0,0,0,0
18,1,0,1,3.214266983819713,26,0,3,0,1,0,0
15,0,2,1,19.56530927058948,3,0,2,1,0,1,1
18,1,0,3,3.170404680548189,12,1,1,1,1,0,0
15,1,1,1,9.74935670927948,7,1,1,0,1,1,0
16,0,1,4,7.282421136830108,18,0,2,0,0,0,0
17,1,3,1,12.78772842908196,4,0,3,0,0,0,0
15,0,0,2,2.5807281777884983,1,1,2,1,0,1,0
18,1,0,2,8.606328560847817,14,0,4,1,0,0,0
16,1,1,3,5.494100656142873,1,0,3,1,0,0,0
15,0,2,2,17.75503049343376,10,1,1,0,1,0,0
18,0,1,2,0.8117142426939017,12,1,1,1,1,0,0
18,1,0,1,18.274549880129182,22,1,3,0,0,0,0
18,1,0,1,16.65988277106001,9,0,1,0,0,0,0
15,1,0,3,5.951414328816309,2,0,3,0,0,0,0
15,0,2,1,15.785813093542094,4,1,2,0,1,0,0
15,1,0,1,0.6242712067749512,2,0,1,1,0,0,0
17,0,0,2,19.33731100586787,5,1,2,1,0,0,0
15,0,3,1,10.531898851795788,12,0,2,1,0,0,0
15,1,0,4,6.065620521308905,9,0,3,0,1,0,0
15,0,3,2,7.251664251893541,18,0,0,1,0,1,1
17,1,1,2,1.3281070692099473,7,0,3,1,0,0,0
15,1,2,3,19.786990280840783,17,1,3,0,0,0,0
18,1,0,0,0.7858389030138491,2,0,3,1,0,0,0
15,1,0,1,13.09814246295718,23,1,0,1,1,0,0
18,1,2,2,8.854718554129166,23,1,3,0,0,0,0
18,0,2,1,18.978324363774306,16,0,2,1,0,1,0
18,0,2,2,4.919994806135904,7,1,2,1,1,0,0
17,1,0,3,10.641736478760226,9,0,3,1,0,0,0
17,1,2,2,9.64712417165506,1,1,2,1,0,0,1
17,0,2,1,14.057328881002029,11,0,3,0,1,0,0
15,0,1,4,1.3602046390484102,22,0,1,1,1,0,1
18,0,2,2,3.875782600467097,5,0,3,1,0,0,0
17,0,2,2,4.291296401856997,1,0,1,0,1,1,0
17,1,1,1,14.763015096833794,20,1,3,0,1,0,0
15,1,0,3,3.7827739265348015,22,0,4,1,0,0,1
17,0,0,2,11.469835277819534,23,0,2,0,0,0,0
15,1,0,2,4.304876410019074,2,0,2,1,0,0,0
16,0,0,3,17.232499001679567,16,1,3,1,1,0,0
17,1,0,1,18.84370908979277,28,0,0,0,1,1,1
16,0,0,2,10.369859498844807,6,0,2,0,0,0,0
15,1,0,3,7.046177684183565,28,0,2,0,0,0,0
18,0,0,1,4.681155500349982,20,0,3,0,0,0,1
17,0,2,2,0.9956200304608752,4,1,3,1,0,0,1
15,1,3,3,5.370001523949908,22,1,3,0,0,0,0
18,0,0,2,13.084715598906358,0,1,3,0,0,1,1
18,1,3,2,10.672338626184215,7,0,3,1,0,0,0
16,1,1,3,18.880825565618547,11,1,2,1,0,0,0
15,0,0,3,7.925545249834012,13,0,2,0,1,0,0
18,1,0,1,13.87726684656789,15,1,2,1,1,0,0
17,1,1,0,9.786454949502428,9,0,4,0,1,0,0
17,1,2,2,10.251524318484233,14,0,3,1,0,0,0
16,1,2,2,5.35548629208235,20,0,2,0,1,0,0
18,1,0,2,9.099015536839994,23,0,3,0,1,0,0
15,0,0,2,9.415699940254145,25,0,2,1,0,0,1
17,1,0,1,14.132850434978678,14,1,3,0,0,0,0
18,1,0,2,18.81279998372228,9,0,2,0,1,0,0
18,1,0,1,6.586425549650086,20,1,1,1,0,0,0
16,1,0,2,0.8440093716259689,27,0,3,1,0,0,0
17,1,2,2,9.925902510012794,6,0,3,0,0,0,0
17,0,3,1,10.889226642983372,25,1,2,1,0,1,0
15,1,0,1,3.368811022638305,2,0,2,1,0,0,0
17,0,3,2,15.209292125521332,1,0,3,1,0,0,1
15,0,0,2,19.698582168829837,5,1,3,0,0,0,0
17,0,0,1,18.915494340169214,20,0,3,1,0,0,0
16,0,0,4,3.942120776473044,8,0,2,1,1,0,0
17,1,1,2,17.507264798015214,9,1,4,1,1,0,0
15,0,3,4,14.089872728233694,3,0,3,0,0,0,0
15,0,1,2,9.076931276138232,26,1,3,1,0,0,0
16,1,0,2,10.812219886494582,2,0,3,0,0,0,0
17,1,1,3,16.99200349964916,8,0,1,1,0,0,0
17,1,0,2,9.602698792767464,23,0,0,1,1,0,0
16,0,2,2,7.464147382102537,21,1,3,0,0,0,0
17,1,1,1,9.864949860519715,16,0,2,0,0,0,1
17,1,0,2,11.582596080700982,13,1,3,0,0,0,0
15,0,1,1,3.781553075566977,9,0,2,1,0,0,0
17,1,1,1,18.018154605339813,12,0,2,0,0,0,0
17,1,0,0,13.483738976592276,11,1,1,1,0,1,0
16,1,1,0,12.665378346749778,26,0,3,1,1,0,0
16,1,0,4,1.9899245236127627,0,0,1,1,0,0,1
18,0,2,1,12.083478763451836,27,0,3,1,0,1,0
15,1,2,2,2.4192132447698467,21,0,2,0,0,0,0
17,1,2,3,1.573953503907981,28,0,3,1,0,0,0
17,0,1,2,10.546217912847863,18,0,1,0,0,1,0
18,1,1,1,8.055710680929899,18,0,1,0,0,0,0
17,0,0,2,11.776205403124465,5,0,3,0,1,0,1
15,1,2,2,1.784443361144772,12,0,2,1,0,0,0
18,0,0,2,8.619661256945168,18,0,1,1,0,0,0
15,0,0,2,3.4957343009031594,12,1,4,0,0,0,0
18,0,0,4,19.74200171848233,26,1,1,1,0,0,0
18,0,0,2,11.223004248703488,25,0,2,1,0,0,0
16,1,1,1,13.748737218817348,21,0,1,0,0,0,0
15,0,0,2,6.508365613652156,20,1,2,1,0,1,1
17,1,2,0,1.894778295586883,3,0,2,0,0,1,0
17,0,0,3,19.517417255670733,23,0,1,0,0,1,1
15,0,0,1,5.7251807076636645,1,0,3,1,0,0,0
17,0,1,1,8.476163703471485,14,1,2,0,0,0,0
17,1,0,3,12.9972784340515,11,0,3,0,0,0,0
15,0,0,2,0.4939459537222257,29,1,1,1,0,0,0
18,1,2,1,16.205182610345737,26,1,2,1,0,0,0
15,1,0,2,10.731563800572406,6,0,0,1,0,1,0
18,1,2,3,5.564343741376443,19,1,3,0,0,0,0
17,1,0,1,1.232159705849385,17,0,3,0,0,0,0
17,1,0,3,3.2499683094888288,22,0,3,1,1,0,1
17,1,2,0,17.900677177068737,12,0,2,0,1,0,1
16,1,0,2,13.72048447871782,16,0,3,0,0,1,0
18,1,0,3,4.998034432737796,3,0,3,0,0,0,0
16,1,0,1,1.3120152989005909,24,0,0,1,0,0,0
16,0,0,2,13.812306247732726,13,0,1,0,0,1,0
15,0,2,1,11.448154519355302,19,0,2,0,0,0,0
16,0,0,2,8.090390489164701,27,0,3,0,1,0,0
15,0,2,2,7.272228983801277,12,1,0,0,0,0,0
15,0,2,2,4.336285518582166,2,0,3,0,1,0,0
16,1,0,1,13.392225130750353,25,0,2,0,0,0,0
18,1,3,1,19.41336055587741,25,0,2,0,0,0,0
18,1,0,0,3.514304916736517,17,0,1,0,1,0,1
18,1,3,1,11.942332400310068,13,0,2,0,1,0,1
18,1,0,2,8.483701114919524,14,0,0,0,1,0,0
18,1,1,3,8.933774434893298,2,0,0,0,1,0,0
16,1,0,2,5.082945602556288,0,0,3,0,0,1,0
16,0,0,2,16.50269751322838,25,1,2,0,0,1,0
17,0,1,4,9.705112082944822,23,1,2,0,0,0,0
18,0,2,2,10.86811704396528,16,0,1,1,0,1,0
16,0,0,3,6.095218255946515,2,1,2,0,1,0,0
17,1,0,2,3.636169313338995,13,0,0,1,1,0,0
18,1,2,1,1.7182077640564095,2,0,2,0,1,0,0
15,1,1,0,14.282382818498318,12,1,2,0,0,0,0
17,0,3,2,3.924685633757112,14,0,2,1,0,0,0
16,1,2,1,13.801507083775954,17,0,4,0,1,0,0
15,1,3,1,7.807528920939077,13,0,2,0,0,0,0
15,1,2,2,8.315496019793029,20,0,2,1,0,0,0
15,0,0,2,9.383549921855431,25,0,2,0,1,0,0
17,1,0,2,7.354170162550863,2,0,1,0,0,1,0
16,0,2,1,2.0123995444518017,18,0,3,0,1,0,0
15,0,1,1,6.192636200056915,7,0,2,1,0,0,0
18,0,0,2,13.274687213878767,3,1,1,1,0,0,0
15,0,0,4,13.31568802937742,3,0,3,0,0,0,1
15,1,3,2,5.724486144799887,18,1,0,0,0,0,0
17,0,1,3,9.20205253115376,10,0,4,1,0,0,1
17,0,0,2,3.8689445602387496,0,1,3,0,0,0,0
16,1,0,2,4.207441630596716,7,1,2,0,1,1,0
18,1,0,1,0.4609417681321481,14,0,1,1,1,0,0
17,0,0,2,17.934930998154893,0,0,1,0,0,0,0
15,1,0,2,4.214133301498125,6,0,1,1,0,0,0
16,0,0,2,4.550677538729266,20,1,1,1,0,0,0
15,0,2,2,5.592028652902636,19,0,2,1,1,0,1
15,0,0,2,2.54816143390858,19,0,4,0,0,1,1
17,0,2,1,12.785257663627256,23,0,2,0,0,0,0
16,1,2,2,1.5028590635517314,10,1,3,0,0,0,0
18,0,0,1,2.6840485265270053,26,0,3,0,0,0,0
18,1,1,3,12.895134531801858,28,0,3,0,0,0,0
17,1,0,1,6.793212409628855,13,0,0,0,1,1,1
17,1,2,0,14.158956534023782,21,1,2,0,1,0,0
16,1,0,2,11.14849489340284,15,0,3,0,0,0,0
18,0,1,2,5.120423461230262,13,0,3,0,0,0,1
18,1,1,2,13.016559009786562,11,0,4,0,0,0,0
18,0,0,1,2.325473605857613,16,0,3,0,0,0,1
15,1,0,2,10.728207661600608,13,1,1,0,0,0,0
18,1,1,1,8.742962100900693,9,0,2,1,0,0,1
15,0,2,3,5.357471656348816,23,0,0,1,1,0,0
16,0,0,3,12.080099954790002,28,1,3,0,0,0,0
15,0,1,2,17.42667184680565,13,1,2,0,0,0,0
16,1,0,1,19.97809399526153,17,0,3,0,0,0,0
18,1,2,2,12.15525537486849,21,0,4,0,0,0,1
18,0,0,0,8.094117486583404,8,1,3,0,0,1,0
16,0,2,2,4.5041420043240326,16,0,2,1,0,0,1
17,0,0,1,5.141921787902235,5,1,1,0,0,0,0
16,0,0,3,9.589099562995314,7,1,3,1,1,1,0
17,1,0,0,7.345554025614184,25,0,1,0,0,0,0
15,0,0,2,18.276290452498884,12,1,1,0,0,0,0
15,0,1,2,7.365909353114191,17,0,1,0,0,0,0
15,0,0,2,7.468891822908709,4,0,2,1,0,0,0
18,0,2,0,7.67069024867954,5,0,1,0,0,0,0
15,1,0,4,16.732404207353163,20,1,4,0,1,1,0
17,0,0,2,13.015766416938035,18,0,4,1,0,0,0
15,1,0,2,12.283377006377854,3,0,4,0,0,1,0
16,0,0,1,6.682860447677244,6,1,0,0,0,0,1
16,0,0,2,16.35808353664879,3,0,4,0,0,0,0
18,1,0,2,0.7672772271140227,24,0,4,0,0,1,0
16,0,0,0,17.415943446762263,10,1,4,0,1,0,0
17,1,0,1,10.254997995878592,11,1,3,0,0,0,0
15,1,1,3,7.965004697268256,13,1,3,0,1,0,0
18,0,1,1,9.943345614353714,12,1,1,0,0,0,0
15,1,0,1,13.348310610676622,28,0,3,1,0,0,0
15,1,0,2,0.2553085303579472,9,0,0,1,0,0,0
17,1,3,2,17.431037129164956,17,0,2,0,0,0,0
16,1,1,0,8.934790506227856,15,0,4,0,0,0,0
16,1,1,2,6.859330394001564,4,0,2,0,1,1,0
15,1,0,1,2.764911312681142,7,1,1,0,0,0,0
18,1,2,0,8.789307487168843,13,0,4,0,0,0,0
16,1,2,0,9.926455425687577,4,0,4,0,1,0,1
18,0,1,3,8.072933889869557,25,0,1,1,0,0,0
16,0,3,1,13.573201876537942,27,0,3,0,1,0,0
18,1,0,0,8.41793057518452,23,0,2,1,0,0,0
17,0,0,2,19.228351556931468,7,0,2,0,0,1,1
18,1,2,3,11.985550356471837,24,0,1,0,0,0,0
17,1,2,1,16.14955871303818,25,0,0,0,0,0,0
17,0,0,2,2.187118062189577,5,1,1,0,1,0,0
18,1,0,0,7.945825858918114,15,1,0,0,1,0,0
17,1,0,2,6.736954028943054,27,0,4,0,0,0,0
15,1,0,2,11.389647762731837,3,1,3,1,0,0,0
17,1,2,2,17.222270401228513,11,0,3,0,0,1,0
16,0,1,1,1.5667643552401334,10,0,3,0,0,0,0
18,1,0,1,1.4514959608942155,2,0,1,1,0,0,0
15,1,0,1,17.00635416315198,11,0,4,1,0,0,0
18,1,0,1,4.257001720767148,29,1,3,1,1,0,0
16,0,0,0,13.375065088996276,4,0,2,0,0,0,0
16,1,1,2,10.857562647216104,5,1,1,0,1,0,0
16,0,3,4,16.657871897744588,18,0,3,0,0,0,0
17,0,2,4,2.5017781967280706,17,0,3,0,1,0,0
17,1,0,3,2.595659314452225,15,1,3,0,0,0,0
18,1,2,2,11.13636720556615,22,0,0,0,0,0,0
18,0,2,2,18.92757306716742,10,0,1,1,1,0,0
15,1,2,1,8.299955167415085,4,0,2,1,1,1,0
15,0,0,2,6.538842005093899,8,0,3,0,1,0,0
18,0,0,2,12.133786463957716,2,0,0,0,0,0,0
17,1,0,2,18.608972010900622,29,0,2,0,1,0,1
16,1,0,2,16.738556656892474,7,0,2,0,0,0,0
18,0,0,1,19.9096722146644,5,0,3,0,0,0,0
15,0,0,1,0.4513716640475418,3,0,2,1,0,0,0
17,0,0,3,2.2571628942552446,11,0,2,0,1,0,0
18,0,2,0,12.18935526733244,11,0,3,0,0,0,0
18,1,0,2,16.411528786676996,24,0,4,0,0,0,1
17,1,0,3,5.704886846135331,20,0,1,1,0,0,0
18,1,3,2,4.784221760684375,15,0,1,1,0,1,0
17,1,3,2,15.739515987624015,9,0,4,1,0,1,0
16,1,2,1,1.1276370770646316,21,0,2,0,0,0,0
17,0,3,1,7.387652951651702,13,0,3,0,0,0,1
17,1,1,3,10.116184451846594,12,0,3,0,0,0,0
17,1,3,2,11.206973487006469,8,0,1,0,1,1,0
18,1,0,2,14.572303135855538,6,0,3,1,0,1,0
18,1,0,0,7.096914468613164,11,0,3,0,0,0,0
17,1,0,0,12.253686893492144,4,0,2,0,0,0,0
18,0,0,4,11.707508455819127,17,0,0,0,0,1,0
15,0,0,1,10.952322013074944,3,0,4,0,0,0,0
15,0,1,2,12.809665862844245,1,0,2,0,1,0,0
18,1,2,0,5.188983421361526,2,1,3,0,0,0,0
18,0,1,2,1.6929750716925795,25,0,3,0,0,0,0
17,0,0,3,2.3854334407948685,11,1,2,0,0,0,0
16,1,2,2,4.491647653078021,2,1,3,1,1,0,0
18,1,1,1,10.003958710455706,3,0,4,0,1,0,0
15,1,0,2,16.808855010920404,5,0,2,0,0,1,0
17,0,1,2,14.025866841767682,11,0,2,0,0,0,0
18,0,0,2,15.780812084040942,18,0,4,1,0,0,0
15,1,0,3,7.019512478521827,9,0,1,1,0,0,1
15,1,3,2,8.093074832971004,29,1,0,0,0,0,0
16,0,0,3,7.873637719812256,0,1,4,0,0,1,0
17,0,0,2,3.8374636880900304,16,0,3,1,0,1,0
17,1,2,1,1.2243331628714405,15,0,4,1,1,0,1
16,1,2,1,11.818321856544536,8,0,0,0,0,0,0
16,0,0,1,19.784333668411723,24,1,1,0,1,0,0
17,1,0,3,3.3365940990052567,20,1,1,0,0,0,0
17,0,0,2,0.9336963979854752,8,1,3,1,0,0,1
18,0,1,2,15.59063363647866,26,0,3,0,0,0,0
18,0,0,1,5.051720133694484,22,0,2,0,0,1,0
16,0,0,1,16.59287610705857,8,0,0,0,0,0,0
18,1,3,2,14.078733340690308,11,0,3,0,0,0,1
15,1,1,2,18.91347074101609,22,1,2,1,0,0,0
18,0,0,1,8.178544715133441,8,1,1,1,0,0,0
18,0,1,2,13.239396789012684,14,0,4,0,1,0,0
15,0,1,0,9.297095616265414,1,0,1,1,0,0,0
16,0,0,1,12.61177394617087,10,0,3,0,0,1,0
15,0,0,2,8.991978120154746,10,1,3,1,0,0,0
18,1,2,1,3.7726449284814967,7,0,2,1,1,0,1
16,1,0,4,10.157948320067618,22,0,1,1,0,0,0
18,1,1,1,10.571684028748846,5,0,2,1,0,0,1
15,1,0,1,16.21207696520322,20,0,3,0,0,0,0
15,0,0,1,14.710414115871624,19,1,1,1,0,0,0
18,0,0,2,13.275832478828882,6,0,3,0,0,0,0
17,0,0,2,2.2677419110514507,2,0,4,0,0,0,0
17,0,0,2,14.4123258132743,7,0,4,0,0,1,0
15,0,0,0,10.006103127090295,17,0,2,0,0,0,0
15,1,2,0,17.881990722123184,16,0,3,1,0,0,1
17,0,3,2,18.39741868261085,10,0,4,0,0,0,0
17,1,2,3,1.1031318120357092,1,0,2,1,0,0,0
18,1,2,3,16.412831207089575,24,1,1,1,0,0,0
18,1,0,0,0.7539478084534124,20,0,1,1,1,0,0
17,1,3,2,7.343392513900453,26,0,1,0,0,0,0
18,0,0,3,10.845999512421582,23,0,3,0,0,1,0
18,1,3,1,2.962015972542549,18,0,2,0,0,0,0
16,1,3,3,14.926276251381536,6,0,3,0,0,0,0
18,1,2,1,0.1670940834427714,17,1,3,1,0,0,1
15,0,3,3,3.3719809686807367,7,0,3,1,1,0,0
18,0,1,2,11.615936597069512,13,0,3,0,0,0,1
18,0,0,3,14.287751240745848,6,0,0,1,0,1,0
17,1,0,2,18.332862053878323,27,0,3,0,1,0,0
15,1,1,1,14.109933038692477,20,0,2,0,0,0,0
18,0,0,3,13.43558540509732,27,0,2,0,1,0,0
18,1,1,1,7.886822927013286,26,0,0,0,0,0,0
16,0,3,1,0.0256885105360282,3,0,4,1,0,0,0
18,0,0,2,2.403185174712439,16,0,4,1,0,0,0
18,1,2,2,10.691090895120784,4,0,2,1,0,0,0
16,1,3,3,13.502597716888394,11,0,2,0,1,0,0
17,1,3,1,8.34896567792925,8,0,3,0,1,0,0
18,1,3,2,14.613580230567804,25,0,1,0,0,0,0
16,0,1,2,10.437245906643575,19,1,1,1,1,1,0
15,0,3,0,1.4835239118862442,12,0,3,0,0,0,0
17,0,2,1,3.8403250193589766,24,0,1,0,1,0,0
15,0,0,1,16.799964464878858,27,0,2,1,1,0,0
15,0,0,1,14.49825493248879,17,1,2,1,0,0,0
16,1,2,4,17.8952397402499,19,1,2,1,0,0,0
18,0,0,2,2.351144982418732,8,0,1,1,1,0,0
16,0,1,2,19.80445069230148,3,0,2,0,0,0,0
16,0,1,4,4.188134278998672,20,1,2,0,1,0,0
16,1,0,1,0.2355975257328402,26,0,2,0,0,1,0
16,1,1,3,19.94845878107108,7,0,3,0,0,0,0
17,1,2,2,5.621477708902263,0,1,4,0,0,1,0
18,1,0,3,13.360389050251198,16,0,1,0,0,0,0
15,0,0,1,3.533646283526104,24,0,3,1,0,0,1
15,0,0,3,11.604570643982834,8,1,1,0,0,1,0
18,1,0,1,18.080699729091187,19,0,2,0,0,0,1
15,1,3,1,6.403623348568772,12,0,2,1,1,0,0
18,0,0,2,13.405079520887185,1,0,2,0,0,0,0
15,0,1,1,3.75807177596833,12,0,3,1,1,0,0
16,1,0,2,12.495907974374504,8,0,2,1,0,0,0
15,1,0,2,6.729007036350203,29,0,2,1,0,0,0
18,1,2,2,4.224165171759033,19,0,3,0,1,1,0
18,1,2,1,6.263641014072703,5,1,1,1,0,0,0
18,0,0,0,3.576821370155987,27,0,1,0,1,0,0
18,0,0,1,18.03832215675765,0,1,0,1,0,0,0
18,0,0,2,7.943737726342577,27,1,1,0,0,0,0
17,1,0,1,4.905586099487347,24,0,2,0,1,0,0
17,1,1,1,8.968156820318658,4,0,2,1,0,1,0
15,0,0,1,6.410723336129911,2,1,1,0,0,0,1
18,0,0,0,14.88838507626652,3,0,0,1,0,0,1
15,0,0,2,19.424398237709887,0,0,3,0,1,1,1
18,0,3,3,8.760673133952936,13,0,3,1,1,1,0
18,1,3,1,17.220667999444807,8,1,4,1,0,0,0
17,0,0,2,11.31726147119239,29,0,4,0,1,0,0
17,0,2,2,3.1447133018846696,23,0,4,0,1,0,1
16,0,0,2,13.812454841626831,3,0,3,1,1,1,1
17,0,0,2,10.268689942516405,17,1,3,1,0,0,0
16,0,2,2,13.01213046504207,13,0,1,0,0,0,0
16,0,3,2,17.7937482514333,24,0,3,1,1,0,1
16,0,3,0,8.808691413120922,3,0,0,0,0,0,0
16,1,1,2,18.023552464347112,24,0,3,0,1,1,0
16,1,0,2,15.013380285633096,9,0,2,0,0,0,1
15,1,2,0,9.772098517559694,2,0,3,1,0,1,0
17,1,0,1,12.064442713159274,22,0,0,1,1,0,1
16,0,1,4,6.511622650380229,6,1,2,0,1,1,0
18,1,0,2,19.671945994775484,9,0,2,0,0,0,0
17,1,1,2,13.34702326100792,12,0,1,1,0,0,0
